"","Protein1","Protein2","Gene1","Gene2","Context","StringScore","CC","MF","BP"
"12301","P50914","P35268","RPL14","RPL22","poor",999,0.75,0.865,0.662
"12302","P46778","P62753","RPL21","RPS6","poor",999,0.748,0.939,0.451
"12303","P62753","O00507","RPS6","USP9Y","poor",0,0.64,0.317,0.261
"12304","P62851","Q96KR1","RPS25","ZFR","poor",0,0.699,0.766,0
"12305","Q15020","Q16670","SART3","ZSCAN26","poor",0,0.792,0.472,0.188
"12306","P62910","O75746","RPL32","SLC25A12","poor",0,0.604,0.153,0.099
"12307","Q9BQK8","P62910","LPIN3","RPL32","poor",0,0.334,0.132,0.246
"12308","O60814","Q9H7Z7","H2BC12","PTGES2","poor",0,0.742,0.597,0.084
"12309","Q9BSU3","P07197","NAA11","NEFM","poor",0,0.593,0.44,0.042
"12310","Q9UIG0","P15880","BAZ1B","RPS2","poor",0,0.577,0.463,0.287
"12311","P08238","O75943","HSP90AB1","RAD17","poor",264,0.492,0.61,0.307
"12312","Q07092","P08238","COL16A1","HSP90AB1","poor",0,0.5,0.539,0.271
"12313","P62807","O95819","H2BC4","MAP4K4","poor",0,0.463,0.469,0.081
"12314","P46778","Q13061","RPL21","TRDN","poor",0,0.786,0.621,0.045
"12315","P13637","O60814","ATP1A3","H2BC12","poor",0,0.408,0.472,0.136
"12316","Q9UHA4","Q92575","LAMTOR3","UBXN4","poor",0,0.366,1,0.14
"12317","Q6P161","P62424","MRPL54","RPL7A","poor",0,0.467,0.951,0.921
"12318","Q8IYB3","P50502","SRRM1","ST13","poor",0,0.525,0.617,0.199
"12319","P07900","Q58FG1","HSP90AA1","HSP90AA4P","poor",0,0.711,0.642,0.348
"12320","P08238","Q6ZSZ6","HSP90AB1","TSHZ1","poor",0,0.434,0.258,0.192
"12321","Q8WUM4","P05386","PDCD6IP","RPLP1","poor",0,0.592,0.587,0.107
"12322","P01023","P12236","A2M","SLC25A6","poor",324,0.362,0.61,0.086
"12323","P68431","Q9NTK5","H3C1","OLA1","poor",0,0.694,0.541,0.357
"12324","Q01804","P63104","OTUD4","YWHAZ","poor",0,0.671,0.631,0.394
"12325","A6QL64","P68036","ANKRD36","UBE2L3","poor",0,0,0,0
"12326","P16403","Q9C0D5","H1-2","TANC1","poor",0,0.198,1,0.123
"12327","P54709","P0DPI2","ATP1B3","GATD3","poor",0,0.454,0,0
"12328","P62937","P35251","PPIA","RFC1","poor",0,0.559,0.525,0.287
"12329","P15924","P21817","DSP","RYR1","poor",0,0.593,0.307,0.281
"12330","P15924","Q15413","DSP","RYR3","poor",0,0.484,0.345,0.141
"12331","P47813","Q9NX40","EIF1AX","OCIAD1","poor",0,0.474,1,0.094
"12332","P10412","P62826","H1-4","RAN","poor",153,0.546,0.572,0.175
"12333","Q9HCM3","P05455","KIAA1549","SSB","poor",0,0.243,0,0
"12334","P56385","Q8WZ42","ATP5ME","TTN","poor",0,0.386,0.51,0.079
"12335","P30040","Q9H6S0","ERP29","YTHDC2","poor",0,0.657,0.436,0.16
"12336","Q6UB99","O43819","ANKRD11","SCO2","poor",0,0.584,0,0.214
"12337","Q7Z4V5","P13796","HDGFL2","LCP1","poor",0,0.459,0.438,0.276
"12338","P68104","Q8WZ42","EEF1A1","TTN","rich",259,0.65,0.552,0.173
"12339","Q14008","P23229","CKAP5","ITGA6","poor",0,0.449,0.653,0.22
"12340","Q13061","Q8WZ42","TRDN","TTN","poor",878,0.519,0.537,0.314
"12341","P12277","Q9C093","CKB","SPEF2","poor",0,0.6,0.467,0.257
"12342","P04080","P26639","CSTB","TARS1","poor",298,0.6,0.417,0.265
"12343","P12235","P12236","SLC25A4","SLC25A6","poor",909,0.882,0.64,0.579
"12344","P07737","Q8WZ42","PFN1","TTN","poor",0,0.665,0.557,0.268
"12345","P78371","P48643","CCT2","CCT5","poor",999,0.83,0.851,0.864
"12346","P63241","Q6IS14","EIF5A","EIF5AL1","rich",0,0.678,0.887,0.665
"12347","Q14739","O60493","LBR","SNX3","poor",0,0.552,0.485,0.078
"12348","Q9Y3M8","Q99426","STARD13","TBCB","poor",0,0.693,0.625,0.264
"12349","Q00796","P62987","SORD","UBA52","poor",0,0.679,0.352,0.188
"12350","P67775","P62714","PPP2CA","PPP2CB","poor",976,0.775,0.916,0.572
"12351","Q13813","P62258","SPTAN1","YWHAE","poor",268,0.73,0.603,0.109
"12352","P05023","P13637","ATP1A1","ATP1A3","poor",803,0.808,0.851,0.707
"12353","P83916","P00558","CBX1","PGK1","poor",0,0.341,0.52,0.179
"12354","Q9UFH2","P53985","DNAH17","SLC16A1","poor",0,0.316,0.306,0.122
"12355","P27824","Q13402","CANX","MYO7A","poor",0,0.495,0.577,0.292
"12356","P20810","Q8IZP2","CAST","ST13P4","poor",0,0.694,0.788,0
"12357","Q12830","Q15084","BPTF","PDIA6","poor",0,0.598,0.419,0.15
"12358","P15311","Q13442","EZR","PDAP1","poor",0,0.569,0.755,0.847
"12359","Q02539","P16403","H1-1","H1-2","rich",805,0.836,0.911,0.734
"12360","Q99729","Q8WZ42","HNRNPAB","TTN","poor",0,0.516,0.51,0.238
"12361","P06733","P52179","ENO1","MYOM1","poor",191,0.454,0.552,0.206
"12362","Q12955","P23284","ANK3","PPIB","poor",0,0.601,0.546,0.192
"12363","Q5BJE1","P22626","CCDC178","HNRNPA2B1","poor",0,0.398,0,0
"12364","P06733","Q8IZU1","ENO1","FAM9A","poor",0,0.34,1,0.083
"12365","Q14093","P09429","CYLC2","HMGB1","poor",0,0.474,0.224,0.137
"12366","Q9H0C8","P23921","ILKAP","RRM1","poor",0,0.841,0.484,0.298
"12367","P60900","P25787","PSMA6","PSMA2","poor",999,0.869,1,0.554
"12368","Q5TB80","P68104","CEP162","EEF1A1","poor",0,0.562,1,0.053
"12369","P68104","Q05639","EEF1A1","EEF1A2","rich",988,0.587,0.889,0.654
"12370","Q5JPF3","Q9Y266","ANKRD36C","NUDC","poor",0,0,0.129,0
"12371","P16403","Q8N567","H1-2","ZCCHC9","poor",0,0.57,0.539,0
"12372","P00387","Q13061","CYB5R3","TRDN","poor",0,0.713,0.452,0.171
"12373","P61160","P06733","ACTR2","ENO1","poor",156,0.721,0.45,0.253
"12374","P06733","P16402","ENO1","H1-3","poor",168,0.454,0.382,0.337
"12375","P00558","Q5VUA4","PGK1","ZNF318","poor",0,0.529,0.324,0.134
"12376","P00505","P46939","GOT2","UTRN","poor",0,0.625,0.205,0.088
"12377","Q9Y3A5","Q8WZ42","SBDS","TTN","poor",0,0.641,0.507,0.225
"12378","Q8IYM0","P62937","FAM186B","PPIA","poor",0,1,0,0
"12379","P43487","P21796","RANBP1","VDAC1","poor",0,0.529,0.466,0.226
"12380","Q92522","P48426","H1-10","PIP4K2A","poor",0,0.536,0.32,0.14
"12381","P00492","Q9NRG1","HPRT1","PRTFDC1","poor",846,1,0.774,1
"12382","P78371","P17987","CCT2","TCP1","poor",999,0.808,0.955,0.962
"12383","Q9UKM9","P63104","RALY","YWHAZ","poor",235,0.449,0.694,0.219
"12384","P09651","P20929","HNRNPA1","NEB","poor",0,0.638,0.408,0.117
"12385","P68431","Q9H1E3","H3C1","NUCKS1","poor",0,0.683,0.568,0.29
"12386","P01023","P12277","A2M","CKB","poor",0,0.684,0.593,0.127
"12387","P18669","Q8NBS9","PGAM1","TXNDC5","poor",0,0.695,0.48,0.122
"12388","P06733","Q8IVH8","ENO1","MAP4K3","poor",0,1,0.385,0.206
"12389","P62807","O94826","H2BC4","TOMM70","poor",0,0.543,0.533,0.226
"12390","A1A4S6","P68431","ARHGAP10","H3C1","poor",0,0.408,0.569,0.295
"12391","Q9P281","P29401","BAHCC1","TKT","poor",0,0,0.543,0
"12392","P62987","P0CG47","UBA52","UBB","rich",986,0.884,0.901,0.343
"12393","A6NEE1","Q9Y3A6","PLEKHD1","TMED5","poor",0,0,0,0
"12394","P06576","Q9BRT2","ATP5F1B","UQCC2","poor",0,0.694,1,0.194
"12395","P28331","Q9NPD8","NDUFS1","UBE2T","poor",0,0.572,0.433,0.239
"12396","Q96JB1","P63241","DNAH8","EIF5A","poor",0,0.322,0.346,0.06
"12397","Q12789","P18669","GTF3C1","PGAM1","poor",0,0.474,0.413,0.165
"12398","Q14004","P68431","CDK13","H3C1","poor",0,0.697,0.498,0.211
"12399","P0C0S8","O43615","H2AC11","TIMM44","poor",0,0.503,0.609,0.156
"12400","P39748","P78559","FEN1","MAP1A","poor",0,0.393,0.381,0.246
"12401","P09651","Q9ULK6","HNRNPA1","RNF150","poor",0,0.598,0.18,0.38
"12402","P68431","Q9Y2W1","H3C1","THRAP3","poor",295,0.755,0.571,0.284
"12403","P15924","Q8WZ42","DSP","TTN","poor",601,0.511,0.61,0.279
"12404","P11413","P60174","G6PD","TPI1","poor",957,0.751,0.581,0.268
"12405","Q02224","P13796","CENPE","LCP1","poor",0,0.598,0.444,0.238
"12406","Q5JSL3","P39748","DOCK11","FEN1","poor",0,0.523,0.309,0.129
"12407","Q9GZR7","Q13243","DDX24","SRSF5","poor",0,0.71,0.641,0.755
"12408","Q92688","P26038","ANP32B","MSN","poor",0,0.569,0.703,0.267
"12409","P68431","Q99623","H3C1","PHB2","poor",0,0.574,0.66,0.203
"12410","P21359","P06748","NF1","NPM1","poor",404,0.688,0.467,0.362
"12411","P46940","P02788","IQGAP1","LTF","poor",0,0.628,0.533,0.328
"12412","P30043","Q9Y266","BLVRB","NUDC","poor",0,0.617,0.492,0.13
"12413","P62807","Q9Y5T5","H2BC4","USP16","poor",182,0.747,0.367,0.145
"12414","O00186","P62258","STXBP3","YWHAE","poor",0,0.681,0.608,0.367
"12415","P01023","P62807","A2M","H2BC4","poor",0,0.629,0.638,0.187
"12416","Q96QF7","Q58FF3","GCNA","HSP90B2P","poor",0,0.428,0.407,0.167
"12417","P41250","P38571","GARS1","LIPA","poor",0,0.671,0.197,0.094
"12418","Q13442","O94826","PDAP1","TOMM70","poor",0,0.431,0.508,0.347
"12419","P12111","P07195","COL6A3","LDHB","poor",0,0.54,0.124,0.153
"12420","P11117","P22413","ACP2","ENPP1","poor",934,0.739,0.404,0.176
"12421","P50991","O15230","CCT4","LAMA5","poor",0,0.463,0.276,0.179
"12422","Q9UIF8","P07910","BAZ2B","HNRNPC","poor",0,1,0.663,0.484
"12423","P14174","Q7KZF4","MIF","SND1","poor",0,0.684,0.443,0.252
"12424","O95816","P06733","BAG2","ENO1","poor",0,0.478,0.553,0.288
"12425","P14314","Q92545","PRKCSH","TMEM131","poor",0,0.251,0.467,0.209
"12426","P00568","P51572","AK1","BCAP31","poor",0,0.524,0.129,0.106
"12427","P50990","Q8NF91","CCT8","SYNE1","poor",0,0.603,0.549,0.239
"12428","P37837","Q9Y6I9","TALDO1","TEX264","poor",0,0.693,0.549,0.228
"12429","Q9P0M6","P68431","MACROH2A2","H3C1","poor",0,0.785,0.834,0.582
"12430","Q96AG4","Q9P0U1","LRRC59","TOMM7","poor",0,0.501,0.535,0.132
"12431","Q13442","P30101","PDAP1","PDIA3","poor",0,0.466,0.54,0.73
"12432","P09429","Q8WZ42","HMGB1","TTN","rich",0,0.543,0.468,0.287
"12433","Q9GZZ1","P30101","NAA50","PDIA3","poor",0,0.597,0.374,0.147
"12434","P05141","O75554","SLC25A5","WBP4","poor",0,0.571,0.516,0.086
"12435","Q16778","O94826","H2BC21","TOMM70","poor",0,0.543,0.502,0.226
"12436","P25705","Q02880","ATP5F1A","TOP2B","poor",378,0.462,0.679,0.238
"12437","P78559","P40926","MAP1A","MDH2","poor",0,0.445,0.409,0.106
"12438","Q5JPF3","P62937","ANKRD36C","PPIA","poor",160,0,0.129,0
"12439","Q7Z6Z7","P05455","HUWE1","SSB","poor",292,0.652,0.67,0.253
"12440","P84243","P62807","H3-3A","H2BC4","rich",909,0.834,0.82,0.324
"12441","Q9BXJ9","P18669","NAA15","PGAM1","poor",0,0.649,0.427,0.16
"12442","P13591","Q5T4S7","NCAM1","UBR4","poor",0,0.663,0.534,0.102
"12443","P13591","Q9H7B2","NCAM1","RPF2","poor",0,0.293,0.552,0.252
"12444","Q14690","Q9UNH7","PDCD11","SNX6","poor",0,0.598,0.619,0.212
"12445","Q68DQ2","P62937","CRYBG3","PPIA","poor",0,1,0.459,0.191
"12446","P16403","P20929","H1-2","NEB","poor",0,0.417,0.536,0.12
"12447","P20020","P62807","ATP2B1","H2BC4","poor",0,0.56,0.488,0.058
"12448","P49588","Q9P035","AARS1","HACD3","poor",0,0.5,0.192,0.184
"12449","P10412","Q8IV08","H1-4","PLD3","poor",0,0.348,0.421,0.246
"12450","Q9NX62","Q15147","BPNT2","PLCB4","poor",0,1,0.463,0.223
"12451","P50748","P14678","KNTC1","SNRPB","poor",0,0.647,0.513,0.212
"12452","P46013","O60925","MKI67","PFDN1","poor",0,0.379,0.534,0.364
"12453","P68431","P30101","H3C1","PDIA3","poor",0,0.592,0.486,0.185
"12454","P50991","P11717","CCT4","IGF2R","poor",0,0.529,0.503,0.209
"12455","P68431","O15018","H3C1","PDZD2","poor",0,0.647,0,0.259
"12456","P54709","P35606","ATP1B3","COPB2","poor",255,0.339,0.573,0.207
"12457","P63167","Q93045","DYNLL1","STMN2","poor",0,0.613,0.69,0.198
"12458","O75531","Q92575","BANF1","UBXN4","poor",0,0.725,1,0.161
"12459","P50991","P17987","CCT4","TCP1","poor",999,0.851,0.972,0.964
"12460","P01023","P62805","A2M","H4C1","poor",0,0.558,0.591,0.117
"12461","Q5JSL3","Q01105","DOCK11","SET","poor",0,1,0.565,0.106
"12462","P80723","Q93079","BASP1","H2BC9","poor",0,0.721,0.637,0.053
"12463","Q92522","P0C0S8","H1-10","H2AC11","rich",0,0.783,0.711,0.319
"12464","P18669","Q8NB66","PGAM1","UNC13C","poor",158,0.403,0.38,0.082
"12465","E9PAV3","Q9BZK3","NACA","NACA4P","poor",0,0.879,1,1
"12466","P62807","Q76FK4","H2BC4","NOL8","poor",0,0.535,0.722,0.054
"12467","P23528","P07951","CFL1","TPM2","poor",724,0.52,0.723,0.31
"12468","P16403","Q5VZK9","H1-2","CARMIL1","poor",0,0.406,0.516,0.174
"12469","P04080","Q13029","CSTB","PRDM2","poor",0,0.543,0.21,0.257
"12470","P21333","P23284","FLNA","PPIB","poor",0,0.683,0.643,0.264
"12471","P06733","Q7Z7B0","ENO1","FILIP1","poor",0,0.63,0,0.178
"12472","P62826","Q9Y3U8","RAN","RPL36","poor",219,0.635,0.336,0.099
"12473","P12111","P60866","COL6A3","RPS20","poor",0,0.552,0.264,0.167
"12474","O75348","P46782","ATP6V1G1","RPS5","poor",0,0.587,0.442,0.138
"12475","P19525","P0DMV8","EIF2AK2","HSPA1A","poor",167,0.688,0.56,0.494
"12476","P06733","Q13029","ENO1","PRDM2","poor",0,0.494,0.501,0.416
"12477","P62979","Q00796","RPS27A","SORD","poor",0,0.682,0.414,0.164
"12478","P13639","P50914","EEF2","RPL14","rich",997,0.722,0.678,0.547
"12479","P60709","A2RUB6","ACTB","CCDC66","poor",0,0.519,0.543,0.224
"12480","Q5VXU9","P47914","SHOC1","RPL29","poor",0,0.438,0.291,0.185
"12481","P82909","Q9HC07","MRPS36","TMEM165","poor",0,0,0,0
"12482","P14868","P07197","DARS1","NEFM","poor",0,0.542,0.442,0.442
"12483","P20810","P50502","CAST","ST13","poor",0,0.76,0.539,0.172
"12484","P20671","Q58FG0","H2AC7","HSP90AA5P","poor",0,0.396,0.269,0.467
"12485","O95757","Q92598","HSPA4L","HSPH1","poor",908,0.707,0.786,0.672
"12486","Q5VXU9","P0DMV8","SHOC1","HSPA1A","poor",0,0.388,0.292,0.122
"12487","P60709","Q8TE73","ACTB","DNAH5","poor",170,0.475,0.531,0.234
"12488","Q32MZ4","P05455","LRRFIP1","SSB","poor",0,0.756,0.628,0.241
"12489","P30622","P08238","CLIP1","HSP90AB1","poor",0,0.563,0.547,0.195
"12490","P0DMV8","P46939","HSPA1A","UTRN","poor",0,0.65,0.544,0.157
"12491","Q9UPN3","P49321","MACF1","NASP","poor",0,0.569,0.61,0.231
"12492","P0DMV8","Q9Y5I3","HSPA1A","PCDHA1","poor",0,0.557,0.311,0.159
"12493","Q9Y5S2","P14625","CDC42BPB","HSP90B1","poor",174,0.604,0.436,0.373
"12494","P17661","P07196","DES","NEFL","poor",667,0.622,0.803,0.337
"12495","Q9NP97","P11021","DYNLRB1","HSPA5","poor",0,0.544,0.613,0.143
"12496","O14578","P07196","CIT","NEFL","poor",299,0.472,0.515,0.273
"12497","Q13206","P62841","DDX10","RPS15","poor",0,1,0.394,0.362
"12498","Q92522","O60287","H1-10","URB1","poor",0,0.751,1,0.226
"12499","P51572","P07900","BCAP31","HSP90AA1","poor",501,0.619,0.529,0.325
"12500","P58876","O94826","H2BC5","TOMM70","poor",0,0.535,0.563,0
"12501","P08238","P23229","HSP90AB1","ITGA6","poor",0,0.439,0.579,0.37
"12502","P60709","Q06124","ACTB","PTPN11","poor",484,0.547,0.589,0.386
"12503","P34932","P11142","HSPA4","HSPA8","poor",985,0.577,0.616,0.431
"12504","Q96HN2","P0DMV8","AHCYL2","HSPA1A","poor",216,0.537,1,0.147
"12505","P30041","Q9Y265","PRDX6","RUVBL1","poor",0,0.641,0.463,0.297
"12506","P0DMV8","Q92545","HSPA1A","TMEM131","poor",0,0.382,0.63,0.467
"12507","Q8TD57","P61254","DNAH3","RPL26","poor",0,0.314,0.354,0.066
"12508","Q03001","P52815","DST","MRPL12","poor",0,0.425,0.609,0.078
"12509","P62851","Q709C8","RPS25","VPS13C","poor",0,0.638,0,0.106
"12510","P55265","P0DMV8","ADAR","HSPA1A","poor",0,0.675,0.563,0.344
"12511","O15078","P52815","CEP290","MRPL12","poor",0,0.404,0.605,0.207
"12512","Q9Y4B5","P62841","MTCL1","RPS15","poor",0,0.569,0.697,0.2
"12513","O60814","Q9Y5T5","H2BC12","USP16","poor",182,0.803,0.382,0.172
"12514","P01023","P58876","A2M","H2BC5","poor",0,0.495,0.612,0
"12515","Q14789","P52815","GOLGB1","MRPL12","poor",0,0.6,0.808,0.453
"12516","P07197","P07196","NEFM","NEFL","poor",992,0.796,0.746,1
"12517","Q7Z7B0","Q9P035","FILIP1","HACD3","poor",0,0.378,0,0.099
"12518","Q99459","P62841","CDC5L","RPS15","poor",250,0.735,0.676,0.286
"12519","Q96QF7","P14625","GCNA","HSP90B1","poor",0,0.457,0.493,0.378
"12520","P0DMV8","O95202","HSPA1A","LETM1","poor",0,0.461,0.505,0.198
"12521","Q5T0N1","P07900","CFAP70","HSP90AA1","poor",0,0.395,0.467,0.236
"12522","P07900","Q6ZQQ6","HSP90AA1","WDR87","poor",0,0,0,0
"12523","P68431","P10636","H3C1","MAPT","poor",0,0.563,0.674,0.258
"12524","Q9P2D7","P68431","DNAH1","H3C1","poor",0,0.457,0.422,0.18
"12525","P19338","Q9BYW2","NCL","SETD2","poor",0,0.718,0.458,0.357
"12526","P62807","O75475","H2BC4","PSIP1","poor",161,0.793,0.731,0.278
"12527","P50914","Q14690","RPL14","PDCD11","poor",194,0.53,0.771,1
"12528","P58876","P05455","H2BC5","SSB","poor",0,0.684,0.626,0
"12529","P07900","Q70CQ4","HSP90AA1","USP31","poor",0,1,0.19,0.126
"12530","P78347","P62807","GTF2I","H2BC4","poor",0,0.725,0.616,0.028
"12531","P58876","Q5QNW6","H2BC5","H2BC18","poor",0,1,0.962,0
"12532","P60709","P0CG39","ACTB","POTEJ","poor",0,0.67,0.524,0.268
"12533","Q07021","P10636","C1QBP","MAPT","poor",0,0.679,0.586,0.304
"12534","O60814","Q76FK4","H2BC12","NOL8","poor",0,0.58,0.676,0.076
"12535","P48741","P0DMV8","HSPA7","HSPA1A","rich",0,0.735,0.679,0.243
"12536","Q93079","P68431","H2BC9","H3C1","rich",0,0.871,0.885,1
"12537","P04406","O95714","GAPDH","HERC2","poor",0,0.787,0.494,0.205
"12538","P62937","Q9UFB7","PPIA","ZBTB47","poor",0,1,0.551,0.775
"12539","P68431","Q5THK1","H3C1","PRR14L","poor",0,0,0,0
"12540","P68431","Q8WW32","H3C1","HMGB4","poor",0,0.558,0.748,0.346
"12541","P68431","P61604","H3C1","HSPE1","poor",0,0.717,0.625,0.203
"12542","Q93079","P48634","H2BC9","PRRC2A","poor",0,0.73,0.692,0.094
"12543","P68431","P35580","H3C1","MYH10","poor",162,0.551,0.559,0.233
"12544","Q93079","P62826","H2BC9","RAN","poor",0,0.744,0.58,0.229
"12545","P06733","Q8NCE0","ENO1","TSEN2","poor",0,0.581,0.569,0.157
"12546","P68431","P24928","H3C1","POLR2A","poor",323,0.704,0.57,0.245
"12547","P42338","Q9UHD8","PIK3CB","SEPTIN9","poor",0,0.51,0.452,0.126
"12548","Q93079","P05204","H2BC9","HMGN2","rich",0,0.729,0.671,0.46
"12549","O14964","P67809","HGS","YBX1","poor",0,0.557,0.484,0.33
"12550","O14964","P16989","HGS","YBX3","poor",0,0.554,0.533,0.271
"12551","A2A2Z9","P62805","ANKRD18B","H4C1","poor",0,0,0,0
"12552","P16403","P26583","H1-2","HMGB2","poor",923,0.656,0.724,0.335
"12553","P16104","O15417","H2AX","TNRC18","poor",0,0.557,0.543,0
"12554","P80723","P62937","BASP1","PPIA","poor",0,0.707,0.544,0.202
"12555","Q9UNP9","P0DME0","PPIE","SETSIP","poor",0,0.75,0.434,0.326
"12556","P68431","P20929","H3C1","NEB","rich",0,0.497,0.658,0.175
"12557","P68431","O15042","H3C1","U2SURP","poor",270,0.593,0.704,0.53
"12558","O15078","Q00839","CEP290","HNRNPU","poor",0,0.704,0.419,0.303
"12559","P47813","P62807","EIF1AX","H2BC4","rich",0,0.548,0.662,0.113
"12560","Q9Y673","P68431","ALG5","H3C1","poor",0,0.512,0.512,0.132
"12561","A6NMZ7","P00558","COL6A6","PGK1","poor",0,0.483,0.176,0.263
"12562","Q9Y673","Q93079","ALG5","H2BC9","poor",0,0.365,0.54,0.034
"12563","P10412","P22492","H1-4","H1-6","poor",0,0.925,0.782,0.739
"12564","Q93079","P20929","H2BC9","NEB","rich",0,0.626,0.657,0.166
"12565","P48643","P99999","CCT5","CYCS","poor",309,0.532,0.469,0.18
"12566","P07814","Q93079","EPRS1","H2BC9","rich",0,0.601,0.561,0.037
"12567","Q00610","Q99436","CLTC","PSMB7","poor",0,0.495,0.525,0.278
"12568","P53621","P61604","COPA","HSPE1","poor",0,0.646,0.573,0.224
"12569","Q93079","Q9UQE7","H2BC9","SMC3","poor",0,0.703,0.607,0.267
"12570","P0C0S8","Q08945","H2AC11","SSRP1","poor",587,0.664,0.678,0.357
"12571","Q93079","P35579","H2BC9","MYH9","poor",0,0.553,0.566,0.229
"12572","O60885","Q93079","BRD4","H2BC9","poor",0,0.646,0.573,0.46
"12573","P16403","O94906","H1-2","PRPF6","poor",0,0.609,0.701,0.332
"12574","Q8N0T1","P16403","RBIS","H1-2","poor",0,0.535,0,0.179
"12575","Q93079","Q15046","H2BC9","KARS1","poor",0,0.7,0.545,0.052
"12576","Q93079","Q5U5X0","H2BC9","LYRM7","poor",0,0.414,0.618,0.378
"12577","Q99613","Q9Y6V0","EIF3C","PCLO","poor",0,0.288,0.413,0.102
"12578","P68431","P22626","H3C1","HNRNPA2B1","poor",0,0.797,0.583,0.314
"12579","Q93079","Q14683","H2BC9","SMC1A","poor",0,0.687,0.681,0.267
"12580","P51572","Q08170","BCAP31","SRSF4","poor",0,0.455,0.618,0.091
"12581","Q96LB3","O15417","IFT74","TNRC18","poor",0,0.451,1,0
"12582","P16403","P17096","H1-2","HMGA1","rich",0,0.603,0.604,0.523
"12583","Q15029","P68431","EFTUD2","H3C1","poor",0,0.714,0.576,0.191
"12584","P10412","P26639","H1-4","TARS1","poor",0,0.33,0.562,0.287
"12585","P30101","O95685","PDIA3","PPP1R3D","poor",0,0.365,0.464,0.089
"12586","Q04637","Q14571","EIF4G1","ITPR2","poor",0,0.595,0.396,0.249
"12587","P68104","P05204","EEF1A1","HMGN2","poor",0,0.676,0.642,0.119
"12588","P68431","P63165","H3C1","SUMO1","poor",187,0.673,0.633,0.204
"12589","Q16204","P68431","CCDC6","H3C1","poor",0,0.399,0.686,0.414
"12590","P13639","Q9NQG5","EEF2","RPRD1B","poor",168,0.444,0.506,0.335
"12591","Q93079","Q99880","H2BC9","H2BC13","rich",0,0.938,0.906,1
"12592","P11586","O43765","MTHFD1","SGTA","poor",0,0.803,0.45,0.117
"12593","P22626","Q9Y5B9","HNRNPA2B1","SUPT16H","poor",250,0.654,0.684,0.341
"12594","Q5VT06","P62807","CEP350","H2BC4","poor",0,0.6,0.653,0.111
"12595","Q93079","P24928","H2BC9","POLR2A","poor",0,0.786,0.612,0.033
"12596","P47813","Q93079","EIF1AX","H2BC9","poor",0,0.547,0.649,0.296
"12597","Q96C19","P22626","EFHD2","HNRNPA2B1","poor",0,0.657,0.239,0
"12598","P22413","Q93079","ENPP1","H2BC9","poor",0,0.389,0.392,0.134
"12599","O75175","P62805","CNOT3","H4C1","poor",0,0.539,1,0.15
"12600","P62805","Q9UQE7","H4C1","SMC3","poor",380,0.658,0.596,0.285
"12601","P0C0S8","O14733","H2AC11","MAP2K7","poor",0,0.561,0.442,0.198
"12602","Q93079","O15417","H2BC9","TNRC18","rich",0,0.687,0.543,0
"12603","A6QL64","P62937","ANKRD36","PPIA","poor",160,0,0,0
"12604","Q9NR48","P62826","ASH1L","RAN","poor",0,0.589,0.366,0.26
"12605","Q00839","Q9Y3B4","HNRNPU","SF3B6","poor",328,0.589,0.661,0.241
"12606","Q93079","Q53EL6","H2BC9","PDCD4","poor",0,0.714,0.692,0.075
"12607","P68431","Q8WX93","H3C1","PALLD","poor",0,0.474,0.624,0.264
"12608","P84243","P16403","H3-3A","H1-2","rich",356,0.686,0.79,0.482
"12609","P57053","Q13395","H2BC12L","TARBP1","poor",0,1,0.361,0.026
"12610","P62805","O15417","H4C1","TNRC18","poor",200,0.523,0.543,0
"12611","P05455","Q00059","SSB","TFAM","poor",153,0.741,0.71,0.278
"12612","Q8WZ42","O15042","TTN","U2SURP","poor",0,0.423,0.521,0.319
"12613","A6QL64","Q14444","ANKRD36","CAPRIN1","poor",0,0,0,0
"12614","P62805","P52209","H4C1","PGD","poor",0,0.598,0.271,0.071
"12615","P40926","P30041","MDH2","PRDX6","poor",382,0.879,0.369,0.148
"12616","Q93079","Q8WZ42","H2BC9","TTN","poor",0,0.641,0.603,0.272
"12617","P68431","O00716","H3C1","E2F3","poor",0,0.683,0.577,0.187
"12618","Q9UG63","O15417","ABCF2","TNRC18","poor",0,0.346,0.171,0
"12619","P35749","Q93073","MYH11","SECISBP2L","poor",0,0.31,0.476,0.051
"12620","P22626","P62987","HNRNPA2B1","UBA52","poor",305,0.685,0.38,0.19
"12621","O00268","P62987","TAF4","UBA52","poor",0,0.615,0.511,0.328
"12622","P04908","P12236","H2AC4","SLC25A6","poor",0,0.517,0.5,0.139
"12623","Q93079","Q53GA4","H2BC9","PHLDA2","poor",0,0.471,0.609,0.075
"12624","Q7Z2K8","P68431","GPRIN1","H3C1","poor",0,0.336,0.665,0.249
"12625","Q53EL6","P62987","PDCD4","UBA52","poor",0,0.628,0.571,0.104
"12626","P68431","E9PAV3","H3C1","NACA","poor",0,0.581,0.676,0.075
"12627","Q86V81","P15259","ALYREF","PGAM2","poor",0,0.787,0.429,0.158
"12628","Q8IWJ2","P68431","GCC2","H3C1","poor",0,0.645,0.653,0.241
"12629","P62258","Q32MQ0","YWHAE","ZNF750","poor",0,1,0.53,0.205
"12630","Q8N0T1","Q93079","RBIS","H2BC9","poor",0,0.707,0,0.179
"12631","P0C0S5","Q13395","H2AZ1","TARBP1","poor",0,1,0.336,0.348
"12632","P68431","Q92614","H3C1","MYO18A","poor",0,0.539,0.615,0.305
